choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -78.84435302734376, time: 4.903608083724976
steps: 50000, episodes: 2000, mean episode reward: -49.218194824218756, time: 10.127470970153809
steps: 75000, episodes: 3000, mean episode reward: -44.73872119140625, time: 15.676598310470581
steps: 100000, episodes: 4000, mean episode reward: -45.10986499023437, time: 21.356245517730713
steps: 125000, episodes: 5000, mean episode reward: -43.23685034179688, time: 27.20700979232788
steps: 150000, episodes: 6000, mean episode reward: -42.50037133789063, time: 33.18165349960327
steps: 175000, episodes: 7000, mean episode reward: -43.04649609375, time: 39.12959551811218
steps: 200000, episodes: 8000, mean episode reward: -41.93867822265626, time: 45.15411710739136
steps: 225000, episodes: 9000, mean episode reward: -41.743078369140626, time: 51.24568843841553
steps: 250000, episodes: 10000, mean episode reward: -43.768520263671874, time: 57.3955614566803
steps: 275000, episodes: 11000, mean episode reward: -42.71073364257812, time: 64.98932480812073
steps: 300000, episodes: 12000, mean episode reward: -43.915594726562496, time: 72.24498534202576
steps: 325000, episodes: 13000, mean episode reward: -42.019821289062506, time: 78.26567912101746
steps: 350000, episodes: 14000, mean episode reward: -41.299502441406254, time: 84.40724444389343
steps: 375000, episodes: 15000, mean episode reward: -41.739286621093754, time: 90.45319938659668
steps: 400000, episodes: 16000, mean episode reward: -41.795466308593745, time: 96.58174657821655
steps: 425000, episodes: 17000, mean episode reward: -41.461828369140626, time: 102.75576114654541
steps: 450000, episodes: 18000, mean episode reward: -41.505607421875006, time: 108.92221856117249
steps: 475000, episodes: 19000, mean episode reward: -41.34113500976562, time: 115.06562352180481
steps: 500000, episodes: 20000, mean episode reward: -40.092224609375, time: 121.20203614234924
steps: 525000, episodes: 21000, mean episode reward: -40.43837426757812, time: 127.31762981414795
steps: 550000, episodes: 22000, mean episode reward: -39.70896411132813, time: 133.2795114517212
steps: 575000, episodes: 23000, mean episode reward: -38.832216796875, time: 139.1741223335266
steps: 600000, episodes: 24000, mean episode reward: -39.164420166015624, time: 145.03279638290405
steps: 625000, episodes: 25000, mean episode reward: -39.346868896484374, time: 150.93031358718872
steps: 650000, episodes: 26000, mean episode reward: -39.3839462890625, time: 156.98855328559875
steps: 675000, episodes: 27000, mean episode reward: -39.06384912109375, time: 162.9310519695282
steps: 700000, episodes: 28000, mean episode reward: -37.3426650390625, time: 169.09604835510254
steps: 725000, episodes: 29000, mean episode reward: -36.47443188476562, time: 175.0976026058197
steps: 750000, episodes: 30000, mean episode reward: -36.081319824218745, time: 181.14395427703857
steps: 775000, episodes: 31000, mean episode reward: -35.953390380859375, time: 187.22291612625122
steps: 800000, episodes: 32000, mean episode reward: -36.22704174804688, time: 193.27266311645508
steps: 825000, episodes: 33000, mean episode reward: -34.80230908203125, time: 199.08267211914062
steps: 850000, episodes: 34000, mean episode reward: -33.93709887695313, time: 204.89238500595093
steps: 875000, episodes: 35000, mean episode reward: -34.178469726562504, time: 210.8332748413086
steps: 900000, episodes: 36000, mean episode reward: -33.0184267578125, time: 216.70011067390442
steps: 925000, episodes: 37000, mean episode reward: -32.62802978515625, time: 222.57892847061157
steps: 950000, episodes: 38000, mean episode reward: -32.10028784179688, time: 228.40228390693665
steps: 975000, episodes: 39000, mean episode reward: -31.836312744140628, time: 234.37764310836792
steps: 1000000, episodes: 40000, mean episode reward: -30.789481933593756, time: 240.30348706245422
steps: 1025000, episodes: 41000, mean episode reward: -30.05886010742188, time: 246.21484684944153
steps: 1050000, episodes: 42000, mean episode reward: -28.085552734375, time: 252.1828212738037
steps: 1075000, episodes: 43000, mean episode reward: -27.645465576171876, time: 258.1493866443634
steps: 1100000, episodes: 44000, mean episode reward: -28.599885498046877, time: 264.1271982192993
steps: 1125000, episodes: 45000, mean episode reward: -27.18464306640625, time: 270.05161118507385
steps: 1150000, episodes: 46000, mean episode reward: -26.14279467773438, time: 275.9201560020447
steps: 1175000, episodes: 47000, mean episode reward: -26.424498046874998, time: 281.77296137809753
steps: 1200000, episodes: 48000, mean episode reward: -23.951458496093753, time: 287.5935561656952
steps: 1225000, episodes: 49000, mean episode reward: -25.32735791015625, time: 293.3764865398407
steps: 1250000, episodes: 50000, mean episode reward: -24.508922607421876, time: 299.2478680610657
steps: 1275000, episodes: 51000, mean episode reward: -23.88400366210937, time: 305.23648262023926
steps: 1300000, episodes: 52000, mean episode reward: -23.250410644531247, time: 310.9992594718933
steps: 1325000, episodes: 53000, mean episode reward: -23.71076904296875, time: 316.93237137794495
steps: 1350000, episodes: 54000, mean episode reward: -22.083546264648437, time: 323.01227927207947
steps: 1375000, episodes: 55000, mean episode reward: -23.890926513671875, time: 329.0401837825775
steps: 1400000, episodes: 56000, mean episode reward: -21.777545166015628, time: 335.0212960243225
steps: 1425000, episodes: 57000, mean episode reward: -22.210176513671875, time: 340.9337809085846
steps: 1450000, episodes: 58000, mean episode reward: -22.47449853515625, time: 346.7663872241974
steps: 1475000, episodes: 59000, mean episode reward: -21.442254150390628, time: 352.48400235176086
steps: 1500000, episodes: 60000, mean episode reward: -20.675957641601563, time: 358.41401743888855
steps: 1525000, episodes: 61000, mean episode reward: -21.391472045898436, time: 364.1098313331604
steps: 1550000, episodes: 62000, mean episode reward: -20.39556201171875, time: 369.96070885658264
steps: 1575000, episodes: 63000, mean episode reward: -21.07911083984375, time: 375.79328656196594
steps: 1600000, episodes: 64000, mean episode reward: -20.938013916015628, time: 381.4690012931824
steps: 1625000, episodes: 65000, mean episode reward: -20.638746337890623, time: 387.14699125289917
steps: 1650000, episodes: 66000, mean episode reward: -20.26856982421875, time: 393.00826239585876
steps: 1675000, episodes: 67000, mean episode reward: -20.59695983886719, time: 398.8877830505371
steps: 1700000, episodes: 68000, mean episode reward: -21.0823330078125, time: 404.7990779876709
steps: 1725000, episodes: 69000, mean episode reward: -20.662093383789063, time: 410.6797535419464
steps: 1750000, episodes: 70000, mean episode reward: -20.61246203613281, time: 416.5480282306671
steps: 1775000, episodes: 71000, mean episode reward: -20.665627075195314, time: 422.5511600971222
steps: 1800000, episodes: 72000, mean episode reward: -20.865262817382813, time: 428.44057726860046
steps: 1825000, episodes: 73000, mean episode reward: -19.936207275390625, time: 434.3593170642853
steps: 1850000, episodes: 74000, mean episode reward: -20.143453491210938, time: 440.32258439064026
steps: 1875000, episodes: 75000, mean episode reward: -20.026644897460937, time: 446.22944617271423
steps: 1900000, episodes: 76000, mean episode reward: -19.580394287109375, time: 452.15592336654663
steps: 1925000, episodes: 77000, mean episode reward: -20.99573388671875, time: 458.10633611679077
steps: 1950000, episodes: 78000, mean episode reward: -19.518348876953127, time: 463.9019503593445
steps: 1975000, episodes: 79000, mean episode reward: -19.797568481445314, time: 469.62876439094543
steps: 2000000, episodes: 80000, mean episode reward: -19.594152709960937, time: 475.4299006462097
steps: 2025000, episodes: 81000, mean episode reward: -20.452621337890626, time: 481.1900134086609
steps: 2050000, episodes: 82000, mean episode reward: -19.656160888671874, time: 487.03506207466125
steps: 2075000, episodes: 83000, mean episode reward: -19.044286132812502, time: 492.8049168586731
steps: 2100000, episodes: 84000, mean episode reward: -19.309525390624998, time: 498.5772228240967
steps: 2125000, episodes: 85000, mean episode reward: -20.22206787109375, time: 504.4136745929718
steps: 2150000, episodes: 86000, mean episode reward: -20.118350097656254, time: 510.2197391986847
steps: 2175000, episodes: 87000, mean episode reward: -19.733242187500004, time: 515.9755306243896
steps: 2200000, episodes: 88000, mean episode reward: -19.683222900390625, time: 521.8451015949249
steps: 2225000, episodes: 89000, mean episode reward: -19.101192993164062, time: 527.7611646652222
steps: 2250000, episodes: 90000, mean episode reward: -19.21540258789063, time: 533.6995356082916
steps: 2275000, episodes: 91000, mean episode reward: -20.37648352050781, time: 539.5558912754059
steps: 2300000, episodes: 92000, mean episode reward: -19.151162719726564, time: 545.27978682518
steps: 2325000, episodes: 93000, mean episode reward: -19.83177770996094, time: 551.1086359024048
steps: 2350000, episodes: 94000, mean episode reward: -18.97794616699219, time: 556.9217052459717
steps: 2375000, episodes: 95000, mean episode reward: -19.615377685546875, time: 562.6154274940491
steps: 2400000, episodes: 96000, mean episode reward: -20.02212512207031, time: 568.3364470005035
steps: 2425000, episodes: 97000, mean episode reward: -20.36557080078125, time: 574.1671614646912
steps: 2450000, episodes: 98000, mean episode reward: -19.247398315429688, time: 579.7077159881592
steps: 2475000, episodes: 99000, mean episode reward: -19.15157629394531, time: 585.2789809703827
steps: 2500000, episodes: 100000, mean episode reward: -19.401582397460935, time: 590.8086593151093

