choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -104.0250068359375, time: 6.934954643249512
steps: 50000, episodes: 2000, mean episode reward: -85.1102099609375, time: 12.883366584777832
steps: 75000, episodes: 3000, mean episode reward: -86.1278212890625, time: 19.015355348587036
steps: 100000, episodes: 4000, mean episode reward: -85.63250830078124, time: 25.18384313583374
steps: 125000, episodes: 5000, mean episode reward: -84.36908789062502, time: 31.50469708442688
steps: 150000, episodes: 6000, mean episode reward: -79.7735234375, time: 37.732470989227295
steps: 175000, episodes: 7000, mean episode reward: -84.2724765625, time: 43.88579821586609
steps: 200000, episodes: 8000, mean episode reward: -82.50179394531251, time: 50.144171476364136
steps: 225000, episodes: 9000, mean episode reward: -85.17274804687501, time: 56.58059883117676
steps: 250000, episodes: 10000, mean episode reward: -85.6785341796875, time: 63.00777888298035
steps: 275000, episodes: 11000, mean episode reward: -84.65484472656252, time: 69.31253981590271
steps: 300000, episodes: 12000, mean episode reward: -94.45913281249999, time: 75.55738711357117
steps: 325000, episodes: 13000, mean episode reward: -88.683306640625, time: 81.82661986351013
steps: 350000, episodes: 14000, mean episode reward: -96.44618359374999, time: 88.16890335083008
steps: 375000, episodes: 15000, mean episode reward: -108.34248730468748, time: 94.36515069007874
steps: 400000, episodes: 16000, mean episode reward: -124.7515, time: 100.63933324813843
steps: 425000, episodes: 17000, mean episode reward: -151.39953417968752, time: 107.00190472602844
steps: 450000, episodes: 18000, mean episode reward: -135.15824707031248, time: 113.32968711853027
steps: 475000, episodes: 19000, mean episode reward: -126.75122656250001, time: 121.15098404884338
steps: 500000, episodes: 20000, mean episode reward: -107.31429003906248, time: 128.94626641273499
steps: 525000, episodes: 21000, mean episode reward: -96.79930078125, time: 136.9386579990387
steps: 550000, episodes: 22000, mean episode reward: -82.9412509765625, time: 143.49375295639038
steps: 575000, episodes: 23000, mean episode reward: -82.22408105468749, time: 149.94901132583618
steps: 600000, episodes: 24000, mean episode reward: -86.14183886718749, time: 156.52471160888672
steps: 625000, episodes: 25000, mean episode reward: -90.6415029296875, time: 163.04025268554688
steps: 650000, episodes: 26000, mean episode reward: -89.627130859375, time: 169.51054191589355
steps: 675000, episodes: 27000, mean episode reward: -80.77336572265625, time: 175.88926792144775
steps: 700000, episodes: 28000, mean episode reward: -77.77991357421874, time: 182.5217137336731
steps: 725000, episodes: 29000, mean episode reward: -75.76211816406251, time: 189.01369190216064
steps: 750000, episodes: 30000, mean episode reward: -77.00531835937501, time: 195.57717990875244
steps: 775000, episodes: 31000, mean episode reward: -75.3380625, time: 202.01165056228638
steps: 800000, episodes: 32000, mean episode reward: -73.86103125, time: 208.37495017051697
steps: 825000, episodes: 33000, mean episode reward: -72.20634228515625, time: 214.8034451007843
steps: 850000, episodes: 34000, mean episode reward: -77.00679638671876, time: 221.28981256484985
steps: 875000, episodes: 35000, mean episode reward: -77.98798583984374, time: 227.67549991607666
steps: 900000, episodes: 36000, mean episode reward: -75.47385693359374, time: 233.92181587219238
