choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -99.00154296874999, time: 4.835057735443115
steps: 50000, episodes: 2000, mean episode reward: -76.40430859374999, time: 9.916879415512085
steps: 75000, episodes: 3000, mean episode reward: -76.875517578125, time: 15.40256667137146
steps: 100000, episodes: 4000, mean episode reward: -75.29437988281249, time: 20.973833799362183
steps: 125000, episodes: 5000, mean episode reward: -77.0820068359375, time: 26.507628917694092
steps: 150000, episodes: 6000, mean episode reward: -71.21958691406249, time: 32.223984479904175
steps: 175000, episodes: 7000, mean episode reward: -79.29131298828125, time: 37.83368277549744
steps: 200000, episodes: 8000, mean episode reward: -74.56691406249999, time: 43.458176136016846
steps: 225000, episodes: 9000, mean episode reward: -74.38586279296875, time: 49.24509263038635
steps: 250000, episodes: 10000, mean episode reward: -73.42730029296874, time: 55.06842803955078
steps: 275000, episodes: 11000, mean episode reward: -65.937396484375, time: 61.01216650009155
steps: 300000, episodes: 12000, mean episode reward: -64.78304931640625, time: 66.98838710784912
steps: 325000, episodes: 13000, mean episode reward: -65.54032861328125, time: 72.8875162601471
steps: 350000, episodes: 14000, mean episode reward: -64.89752392578126, time: 78.82958960533142
steps: 375000, episodes: 15000, mean episode reward: -68.843716796875, time: 84.8450870513916
steps: 400000, episodes: 16000, mean episode reward: -72.83665234375, time: 90.89912605285645
steps: 425000, episodes: 17000, mean episode reward: -82.35063671875, time: 97.01135277748108
steps: 450000, episodes: 18000, mean episode reward: -88.635203125, time: 102.99307990074158
steps: 475000, episodes: 19000, mean episode reward: -104.47890234375, time: 110.35650730133057
steps: 500000, episodes: 20000, mean episode reward: -118.60545507812499, time: 116.65893125534058
steps: 525000, episodes: 21000, mean episode reward: -103.3766875, time: 122.94780039787292
steps: 550000, episodes: 22000, mean episode reward: -100.7817822265625, time: 129.20595240592957
steps: 575000, episodes: 23000, mean episode reward: -93.1211376953125, time: 135.64884519577026
steps: 600000, episodes: 24000, mean episode reward: -80.09971826171875, time: 141.87083888053894
steps: 625000, episodes: 25000, mean episode reward: -81.63425830078124, time: 148.27291321754456
steps: 650000, episodes: 26000, mean episode reward: -79.57620507812499, time: 154.51701617240906
steps: 675000, episodes: 27000, mean episode reward: -77.39540527343749, time: 160.6929497718811
steps: 700000, episodes: 28000, mean episode reward: -80.51897021484375, time: 166.8968071937561
steps: 725000, episodes: 29000, mean episode reward: -76.58632861328125, time: 173.0405421257019
steps: 750000, episodes: 30000, mean episode reward: -73.57460986328124, time: 179.22829294204712
steps: 775000, episodes: 31000, mean episode reward: -73.18219775390625, time: 185.4521460533142
steps: 800000, episodes: 32000, mean episode reward: -70.10024755859375, time: 191.71267008781433
steps: 825000, episodes: 33000, mean episode reward: -67.74056982421874, time: 198.10090374946594
steps: 850000, episodes: 34000, mean episode reward: -72.064029296875, time: 204.43807864189148
steps: 875000, episodes: 35000, mean episode reward: -70.85077832031251, time: 210.70845985412598
steps: 900000, episodes: 36000, mean episode reward: -69.43281884765625, time: 217.0140678882599
steps: 925000, episodes: 37000, mean episode reward: -71.997357421875, time: 223.35254406929016
steps: 950000, episodes: 38000, mean episode reward: -77.4319423828125, time: 229.5942885875702
steps: 975000, episodes: 39000, mean episode reward: -71.4875595703125, time: 235.7364661693573
steps: 1000000, episodes: 40000, mean episode reward: -70.65153124999999, time: 242.02145981788635
steps: 1025000, episodes: 41000, mean episode reward: -72.4565673828125, time: 248.39018321037292
steps: 1050000, episodes: 42000, mean episode reward: -72.03991308593751, time: 254.53983545303345
steps: 1075000, episodes: 43000, mean episode reward: -74.78802099609373, time: 260.70094537734985
steps: 1100000, episodes: 44000, mean episode reward: -73.0067294921875, time: 267.03772139549255
steps: 1125000, episodes: 45000, mean episode reward: -67.14150781250001, time: 273.19136810302734
steps: 1150000, episodes: 46000, mean episode reward: -69.11389306640626, time: 279.43394804000854
steps: 1175000, episodes: 47000, mean episode reward: -75.73658349609374, time: 285.57204413414
steps: 1200000, episodes: 48000, mean episode reward: -74.67390869140627, time: 291.79747772216797
steps: 1225000, episodes: 49000, mean episode reward: -71.11294287109375, time: 298.062283039093
steps: 1250000, episodes: 50000, mean episode reward: -69.7953505859375, time: 304.3853921890259
steps: 1275000, episodes: 51000, mean episode reward: -72.58285107421874, time: 310.70726227760315
steps: 1300000, episodes: 52000, mean episode reward: -73.12855419921875, time: 317.0761580467224
steps: 1325000, episodes: 53000, mean episode reward: -69.27057763671874, time: 323.32059812545776
steps: 1350000, episodes: 54000, mean episode reward: -69.6437802734375, time: 329.618661403656
steps: 1375000, episodes: 55000, mean episode reward: -72.58679003906249, time: 336.0528700351715
steps: 1400000, episodes: 56000, mean episode reward: -70.98303417968751, time: 342.2846169471741
steps: 1425000, episodes: 57000, mean episode reward: -68.016564453125, time: 348.568482875824
steps: 1450000, episodes: 58000, mean episode reward: -71.13059033203125, time: 354.8804898262024
steps: 1475000, episodes: 59000, mean episode reward: -70.11525537109374, time: 361.10938119888306
steps: 1500000, episodes: 60000, mean episode reward: -70.96328369140625, time: 367.33221435546875
steps: 1525000, episodes: 61000, mean episode reward: -73.87579541015626, time: 373.65152072906494
