choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -626.1596874999999, time: 200.0930552482605
steps: 50000, episodes: 2000, mean episode reward: -636.56711328125, time: 655.1698160171509
steps: 75000, episodes: 3000, mean episode reward: -637.03534375, time: 667.6240730285645
steps: 100000, episodes: 4000, mean episode reward: -687.8639218750001, time: 680.5349266529083
steps: 125000, episodes: 5000, mean episode reward: -675.4061562500001, time: 693.6771082878113
steps: 150000, episodes: 6000, mean episode reward: -636.7205156250001, time: 706.7446656227112
steps: 175000, episodes: 7000, mean episode reward: -604.52657421875, time: 719.979930639267
steps: 200000, episodes: 8000, mean episode reward: -586.01095703125, time: 733.2274522781372
steps: 225000, episodes: 9000, mean episode reward: -602.99964453125, time: 746.0720882415771
steps: 250000, episodes: 10000, mean episode reward: -595.8290468749999, time: 758.9534175395966
steps: 275000, episodes: 11000, mean episode reward: -601.423, time: 772.0522148609161
steps: 300000, episodes: 12000, mean episode reward: -591.91194140625, time: 785.0637228488922
steps: 325000, episodes: 13000, mean episode reward: -597.4373125, time: 797.9702594280243
steps: 350000, episodes: 14000, mean episode reward: -596.9108203124999, time: 811.0390458106995
steps: 375000, episodes: 15000, mean episode reward: -601.86773828125, time: 824.167786359787
steps: 400000, episodes: 16000, mean episode reward: -595.6086054687499, time: 837.2334551811218
steps: 425000, episodes: 17000, mean episode reward: -599.750765625, time: 850.4031178951263
steps: 450000, episodes: 18000, mean episode reward: -603.82340625, time: 863.3417711257935
steps: 475000, episodes: 19000, mean episode reward: -598.1316015625, time: 876.4799904823303
steps: 500000, episodes: 20000, mean episode reward: -599.63697265625, time: 889.6200196743011
steps: 525000, episodes: 21000, mean episode reward: -592.825671875, time: 902.7003316879272
steps: 550000, episodes: 22000, mean episode reward: -595.02674609375, time: 915.8558185100555
steps: 575000, episodes: 23000, mean episode reward: -595.67596875, time: 928.9668045043945
steps: 600000, episodes: 24000, mean episode reward: -600.7166015624999, time: 942.0622675418854
steps: 625000, episodes: 25000, mean episode reward: -598.85393359375, time: 955.1783692836761
steps: 650000, episodes: 26000, mean episode reward: -591.4582109375, time: 967.9544966220856
steps: 675000, episodes: 27000, mean episode reward: -598.7052148437501, time: 981.028909444809
steps: 700000, episodes: 28000, mean episode reward: -597.14972265625, time: 994.407764673233
steps: 725000, episodes: 29000, mean episode reward: -597.09507421875, time: 1007.3647153377533
steps: 750000, episodes: 30000, mean episode reward: -592.51341796875, time: 1020.3533639907837
steps: 775000, episodes: 31000, mean episode reward: -599.9753828125, time: 1033.3978836536407
steps: 800000, episodes: 32000, mean episode reward: -590.6227617187499, time: 1046.4498782157898
steps: 825000, episodes: 33000, mean episode reward: -586.2631015625, time: 1059.5793797969818
steps: 850000, episodes: 34000, mean episode reward: -585.20675, time: 1072.5867717266083
steps: 875000, episodes: 35000, mean episode reward: -585.9452421875001, time: 1085.3942863941193
steps: 900000, episodes: 36000, mean episode reward: -590.4386796875001, time: 1098.5711357593536
steps: 925000, episodes: 37000, mean episode reward: -588.9221640625, time: 1111.7803452014923
steps: 950000, episodes: 38000, mean episode reward: -589.46041796875, time: 1124.9375019073486
steps: 975000, episodes: 39000, mean episode reward: -585.4011874999999, time: 1138.1745822429657
steps: 1000000, episodes: 40000, mean episode reward: -575.9458203125, time: 1151.2830936908722
steps: 1025000, episodes: 41000, mean episode reward: -577.49198828125, time: 1164.5152897834778
steps: 1050000, episodes: 42000, mean episode reward: -588.989578125, time: 1177.5876774787903
steps: 1075000, episodes: 43000, mean episode reward: -591.5285859375001, time: 1190.5630595684052
steps: 1100000, episodes: 44000, mean episode reward: -585.4634882812501, time: 1203.5939869880676
steps: 1125000, episodes: 45000, mean episode reward: -583.3707226562499, time: 1216.8678801059723
steps: 1150000, episodes: 46000, mean episode reward: -592.5047109375, time: 1229.8052372932434
steps: 1175000, episodes: 47000, mean episode reward: -587.9418203125, time: 1243.1363961696625
steps: 1200000, episodes: 48000, mean episode reward: -588.125875, time: 1256.1532754898071
steps: 1225000, episodes: 49000, mean episode reward: -586.60280859375, time: 1269.039320230484
steps: 1250000, episodes: 50000, mean episode reward: -586.4715234375, time: 1282.1868209838867
steps: 1275000, episodes: 51000, mean episode reward: -574.4641992187501, time: 1295.219054222107
steps: 1300000, episodes: 52000, mean episode reward: -575.2721875, time: 1308.344786643982
steps: 1325000, episodes: 53000, mean episode reward: -587.6575820312501, time: 1321.318312883377
steps: 1350000, episodes: 54000, mean episode reward: -589.2411601562501, time: 1334.3573043346405
steps: 1375000, episodes: 55000, mean episode reward: -595.1902578125, time: 1347.1480014324188
steps: 1400000, episodes: 56000, mean episode reward: -585.8884609375001, time: 1359.9618122577667
steps: 1425000, episodes: 57000, mean episode reward: -589.04033203125, time: 1373.1284277439117
steps: 1450000, episodes: 58000, mean episode reward: -584.7681015625001, time: 1386.266655921936
steps: 1475000, episodes: 59000, mean episode reward: -591.45042578125, time: 1399.4163007736206
steps: 1500000, episodes: 60000, mean episode reward: -591.0886445312499, time: 1412.2988905906677
steps: 1525000, episodes: 61000, mean episode reward: -591.7274765625, time: 1425.42023563385
steps: 1550000, episodes: 62000, mean episode reward: -599.2248984375001, time: 1438.6056172847748
steps: 1575000, episodes: 63000, mean episode reward: -591.3095117187501, time: 1451.3042960166931
steps: 1600000, episodes: 64000, mean episode reward: -590.5136523437501, time: 1464.3602514266968
steps: 1625000, episodes: 65000, mean episode reward: -582.5822421874999, time: 1477.1906731128693
steps: 1650000, episodes: 66000, mean episode reward: -578.67563671875, time: 1490.1223170757294
steps: 1675000, episodes: 67000, mean episode reward: -589.3068515625, time: 1503.1539878845215
steps: 1700000, episodes: 68000, mean episode reward: -601.50103515625, time: 1516.1221733093262
steps: 1725000, episodes: 69000, mean episode reward: -589.2489804687501, time: 1528.8793776035309
steps: 1750000, episodes: 70000, mean episode reward: -583.90010546875, time: 1542.131455898285
steps: 1775000, episodes: 71000, mean episode reward: -579.5480859375, time: 1554.7020366191864
steps: 1800000, episodes: 72000, mean episode reward: -590.86608203125, time: 1568.048593044281
steps: 1825000, episodes: 73000, mean episode reward: -588.2723789062501, time: 1580.8669872283936
steps: 1850000, episodes: 74000, mean episode reward: -588.7071953125001, time: 1593.6479318141937
steps: 1875000, episodes: 75000, mean episode reward: -599.55754296875, time: 1606.5726108551025
steps: 1900000, episodes: 76000, mean episode reward: -580.83610546875, time: 1619.3878870010376
steps: 1925000, episodes: 77000, mean episode reward: -582.52973828125, time: 1632.3027617931366
steps: 1950000, episodes: 78000, mean episode reward: -591.6850234374999, time: 1645.3868050575256
steps: 1975000, episodes: 79000, mean episode reward: -586.66840625, time: 1658.4485697746277
steps: 2000000, episodes: 80000, mean episode reward: -581.8236484375, time: 1671.309541463852
steps: 2025000, episodes: 81000, mean episode reward: -589.2076406250001, time: 1683.708093881607
steps: 2050000, episodes: 82000, mean episode reward: -589.12423828125, time: 1695.7586019039154
steps: 2075000, episodes: 83000, mean episode reward: -582.9943125, time: 1707.9337675571442
steps: 2100000, episodes: 84000, mean episode reward: -579.9172109375, time: 1720.1369392871857
steps: 2125000, episodes: 85000, mean episode reward: -579.8906953124999, time: 1732.2038743495941
steps: 2150000, episodes: 86000, mean episode reward: -591.1522734375001, time: 1744.2254724502563
steps: 2175000, episodes: 87000, mean episode reward: -578.4226367187499, time: 1756.1539866924286
steps: 2200000, episodes: 88000, mean episode reward: -576.05008203125, time: 1768.112853527069
steps: 2225000, episodes: 89000, mean episode reward: -585.6740117187501, time: 1780.2526977062225
steps: 2250000, episodes: 90000, mean episode reward: -589.2709531249999, time: 1791.6886804103851
steps: 2275000, episodes: 91000, mean episode reward: -587.2580234375, time: 1802.9507207870483
steps: 2300000, episodes: 92000, mean episode reward: -582.8131210937499, time: 1813.639806985855
steps: 2325000, episodes: 93000, mean episode reward: -583.79332421875, time: 1824.1403555870056
steps: 2350000, episodes: 94000, mean episode reward: -582.35122265625, time: 1834.5427196025848
steps: 2375000, episodes: 95000, mean episode reward: -585.5568359375, time: 1844.8860175609589
steps: 2400000, episodes: 96000, mean episode reward: -582.5740078125, time: 1854.8293266296387
steps: 2425000, episodes: 97000, mean episode reward: -574.8646171875, time: 1865.0880706310272
steps: 2450000, episodes: 98000, mean episode reward: -580.5940820312501, time: 1874.8387169837952
steps: 2475000, episodes: 99000, mean episode reward: -579.0077734375001, time: 1884.4895343780518
steps: 2500000, episodes: 100000, mean episode reward: -589.41615625, time: 1894.842852115631

