choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -80.74274023437499, time: 4.54006028175354
steps: 50000, episodes: 2000, mean episode reward: -48.036044433593744, time: 9.391042709350586
steps: 75000, episodes: 3000, mean episode reward: -46.45641552734375, time: 14.298512697219849
steps: 100000, episodes: 4000, mean episode reward: -45.488942626953126, time: 19.35209584236145
steps: 125000, episodes: 5000, mean episode reward: -45.630362304687495, time: 26.15927505493164
steps: 150000, episodes: 6000, mean episode reward: -43.08108837890625, time: 33.51007676124573
steps: 175000, episodes: 7000, mean episode reward: -43.01603833007813, time: 39.46290826797485
steps: 200000, episodes: 8000, mean episode reward: -42.754791503906254, time: 45.56313490867615
steps: 225000, episodes: 9000, mean episode reward: -44.312400390624994, time: 51.60002636909485
steps: 250000, episodes: 10000, mean episode reward: -42.37168310546874, time: 57.72402334213257
steps: 275000, episodes: 11000, mean episode reward: -42.56535693359375, time: 63.802528858184814
steps: 300000, episodes: 12000, mean episode reward: -41.398962158203126, time: 70.0176591873169
steps: 325000, episodes: 13000, mean episode reward: -42.61968652343751, time: 76.26731538772583
steps: 350000, episodes: 14000, mean episode reward: -41.53104833984376, time: 82.37745189666748
steps: 375000, episodes: 15000, mean episode reward: -41.82473144531251, time: 88.44777369499207
steps: 400000, episodes: 16000, mean episode reward: -39.700710205078124, time: 94.65852332115173
steps: 425000, episodes: 17000, mean episode reward: -41.22951391601563, time: 100.86877846717834
steps: 450000, episodes: 18000, mean episode reward: -40.88239233398437, time: 106.97345089912415
steps: 475000, episodes: 19000, mean episode reward: -41.0903740234375, time: 113.17022371292114
steps: 500000, episodes: 20000, mean episode reward: -41.39810131835937, time: 119.2397038936615
steps: 525000, episodes: 21000, mean episode reward: -40.69938354492187, time: 125.36015605926514
steps: 550000, episodes: 22000, mean episode reward: -39.97018432617188, time: 131.49632382392883
steps: 575000, episodes: 23000, mean episode reward: -40.568684326171876, time: 137.6336932182312
steps: 600000, episodes: 24000, mean episode reward: -38.99650537109375, time: 143.83688521385193
