choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -598.7533007812501, time: 7.974654197692871
steps: 50000, episodes: 2000, mean episode reward: -564.7035703125, time: 16.813007593154907
steps: 75000, episodes: 3000, mean episode reward: -564.5137773437499, time: 26.10176420211792
steps: 100000, episodes: 4000, mean episode reward: -555.0189101562501, time: 35.337931871414185
steps: 125000, episodes: 5000, mean episode reward: -547.3844999999999, time: 44.678656578063965
steps: 150000, episodes: 6000, mean episode reward: -548.5936484375, time: 53.86097049713135
steps: 175000, episodes: 7000, mean episode reward: -543.0705234375, time: 63.06501078605652
steps: 200000, episodes: 8000, mean episode reward: -534.74873828125, time: 72.32335805892944
steps: 225000, episodes: 9000, mean episode reward: -532.4661093749999, time: 81.59994888305664
steps: 250000, episodes: 10000, mean episode reward: -531.4960156249999, time: 90.9236044883728
steps: 275000, episodes: 11000, mean episode reward: -523.549609375, time: 100.16374325752258
steps: 300000, episodes: 12000, mean episode reward: -515.0796757812499, time: 109.37629199028015
steps: 325000, episodes: 13000, mean episode reward: -516.2074921875001, time: 118.72072267532349
steps: 350000, episodes: 14000, mean episode reward: -508.4446875, time: 127.80337738990784
steps: 375000, episodes: 15000, mean episode reward: -515.08384765625, time: 137.05496788024902
steps: 400000, episodes: 16000, mean episode reward: -513.3162656249999, time: 146.32813024520874
steps: 425000, episodes: 17000, mean episode reward: -503.12057031250004, time: 155.61452198028564
steps: 450000, episodes: 18000, mean episode reward: -502.09571093750003, time: 164.88757228851318
steps: 475000, episodes: 19000, mean episode reward: -492.57256640625, time: 174.04822206497192
steps: 500000, episodes: 20000, mean episode reward: -492.05652343750006, time: 183.28475260734558
steps: 525000, episodes: 21000, mean episode reward: -484.96453906249997, time: 192.44108605384827
steps: 550000, episodes: 22000, mean episode reward: -480.19974609375004, time: 201.34612488746643
steps: 575000, episodes: 23000, mean episode reward: -481.83209374999996, time: 210.46302556991577
steps: 600000, episodes: 24000, mean episode reward: -481.75508984375, time: 219.9067666530609
steps: 625000, episodes: 25000, mean episode reward: -482.2925546875, time: 229.7885754108429
steps: 650000, episodes: 26000, mean episode reward: -479.06290234375, time: 238.84989762306213
steps: 675000, episodes: 27000, mean episode reward: -481.84916015625004, time: 247.965265750885
steps: 700000, episodes: 28000, mean episode reward: -486.44118749999996, time: 256.9634144306183
steps: 725000, episodes: 29000, mean episode reward: -489.94603906249995, time: 265.9803023338318
steps: 750000, episodes: 30000, mean episode reward: -481.597859375, time: 275.1775770187378
steps: 775000, episodes: 31000, mean episode reward: -484.22847656249996, time: 284.3498566150665
steps: 800000, episodes: 32000, mean episode reward: -483.40550390625003, time: 293.7520227432251
steps: 825000, episodes: 33000, mean episode reward: -481.36216796875004, time: 302.90722465515137
steps: 850000, episodes: 34000, mean episode reward: -473.59851171875005, time: 311.96000051498413
steps: 875000, episodes: 35000, mean episode reward: -478.42567578125, time: 321.18098616600037
steps: 900000, episodes: 36000, mean episode reward: -477.81090624999996, time: 330.18042635917664
steps: 925000, episodes: 37000, mean episode reward: -475.40461328125, time: 339.4814338684082
steps: 950000, episodes: 38000, mean episode reward: -468.16949999999997, time: 348.63365364074707
steps: 975000, episodes: 39000, mean episode reward: -464.69855468749995, time: 357.8486728668213
steps: 1000000, episodes: 40000, mean episode reward: -459.54768359375004, time: 366.76156401634216
steps: 1025000, episodes: 41000, mean episode reward: -457.64996484374996, time: 375.97896790504456
steps: 1050000, episodes: 42000, mean episode reward: -455.34344140625007, time: 384.984721660614
steps: 1075000, episodes: 43000, mean episode reward: -452.47215234375, time: 393.9615914821625
steps: 1100000, episodes: 44000, mean episode reward: -454.62915234375004, time: 403.1856336593628
steps: 1125000, episodes: 45000, mean episode reward: -455.781453125, time: 412.2050778865814
steps: 1150000, episodes: 46000, mean episode reward: -458.23125, time: 421.6965618133545
steps: 1175000, episodes: 47000, mean episode reward: -449.45548828125004, time: 430.80926036834717
steps: 1200000, episodes: 48000, mean episode reward: -456.59477734374997, time: 439.9032588005066
steps: 1225000, episodes: 49000, mean episode reward: -451.97345703125, time: 449.22030782699585
steps: 1250000, episodes: 50000, mean episode reward: -457.0304453125001, time: 458.4928731918335
steps: 1275000, episodes: 51000, mean episode reward: -453.4361328125, time: 467.57880878448486
