choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -99.00154296874999, time: 5.970644235610962
steps: 50000, episodes: 2000, mean episode reward: -76.40430859374999, time: 12.148965835571289
steps: 75000, episodes: 3000, mean episode reward: -76.875517578125, time: 18.62619137763977
steps: 100000, episodes: 4000, mean episode reward: -75.29437988281249, time: 25.07220697402954
steps: 125000, episodes: 5000, mean episode reward: -77.0820068359375, time: 31.615833282470703
steps: 150000, episodes: 6000, mean episode reward: -71.21958691406249, time: 38.12670969963074
steps: 175000, episodes: 7000, mean episode reward: -79.29131298828125, time: 44.59969210624695
steps: 200000, episodes: 8000, mean episode reward: -74.56691406249999, time: 51.03879928588867
steps: 225000, episodes: 9000, mean episode reward: -74.38586279296875, time: 57.48388147354126
steps: 250000, episodes: 10000, mean episode reward: -73.42730029296874, time: 63.86648750305176
steps: 275000, episodes: 11000, mean episode reward: -65.937396484375, time: 70.29094386100769
steps: 300000, episodes: 12000, mean episode reward: -64.78304931640625, time: 76.64787936210632
steps: 325000, episodes: 13000, mean episode reward: -65.54032861328125, time: 83.09996318817139
steps: 350000, episodes: 14000, mean episode reward: -64.89752392578126, time: 89.4059545993805
steps: 375000, episodes: 15000, mean episode reward: -68.843716796875, time: 95.74888372421265
steps: 400000, episodes: 16000, mean episode reward: -72.83665234375, time: 102.19347763061523
steps: 425000, episodes: 17000, mean episode reward: -82.35063671875, time: 108.50981450080872
steps: 450000, episodes: 18000, mean episode reward: -88.635203125, time: 114.86889338493347
steps: 475000, episodes: 19000, mean episode reward: -104.47890234375, time: 121.25464606285095
steps: 500000, episodes: 20000, mean episode reward: -118.60545507812499, time: 127.73222804069519
steps: 525000, episodes: 21000, mean episode reward: -103.3766875, time: 134.14061832427979
steps: 550000, episodes: 22000, mean episode reward: -100.7817822265625, time: 142.03094029426575
steps: 575000, episodes: 23000, mean episode reward: -93.1211376953125, time: 150.01414155960083
steps: 600000, episodes: 24000, mean episode reward: -80.09971826171875, time: 158.212322473526
steps: 625000, episodes: 25000, mean episode reward: -81.63425830078124, time: 164.83489847183228
steps: 650000, episodes: 26000, mean episode reward: -79.57620507812499, time: 171.14926052093506
steps: 675000, episodes: 27000, mean episode reward: -77.39540527343749, time: 177.616149187088
steps: 700000, episodes: 28000, mean episode reward: -80.51897021484375, time: 184.01975274085999
steps: 725000, episodes: 29000, mean episode reward: -76.58632861328125, time: 190.53078818321228
steps: 750000, episodes: 30000, mean episode reward: -73.57460986328124, time: 197.00277757644653
steps: 775000, episodes: 31000, mean episode reward: -73.18219775390625, time: 203.44906187057495
steps: 800000, episodes: 32000, mean episode reward: -70.10024755859375, time: 209.90906834602356
steps: 825000, episodes: 33000, mean episode reward: -67.74056982421874, time: 216.3338747024536
steps: 850000, episodes: 34000, mean episode reward: -72.064029296875, time: 224.46932721138
steps: 875000, episodes: 35000, mean episode reward: -70.85077832031251, time: 232.87022352218628
steps: 900000, episodes: 36000, mean episode reward: -69.43281884765625, time: 254.75576782226562
steps: 925000, episodes: 37000, mean episode reward: -71.997357421875, time: 261.3160400390625
steps: 950000, episodes: 38000, mean episode reward: -77.4319423828125, time: 267.67537784576416
steps: 975000, episodes: 39000, mean episode reward: -71.4875595703125, time: 274.1763164997101
steps: 1000000, episodes: 40000, mean episode reward: -70.65153124999999, time: 280.52598118782043
steps: 1025000, episodes: 41000, mean episode reward: -72.4565673828125, time: 286.8709788322449
steps: 1050000, episodes: 42000, mean episode reward: -72.03991308593751, time: 293.3254554271698
steps: 1075000, episodes: 43000, mean episode reward: -74.78802099609373, time: 299.6189844608307
steps: 1100000, episodes: 44000, mean episode reward: -73.0067294921875, time: 305.9904417991638
steps: 1125000, episodes: 45000, mean episode reward: -67.14150781250001, time: 312.57814717292786
steps: 1150000, episodes: 46000, mean episode reward: -69.11389306640626, time: 319.0091800689697
steps: 1175000, episodes: 47000, mean episode reward: -75.73658349609374, time: 325.481329202652
steps: 1200000, episodes: 48000, mean episode reward: -74.67390869140627, time: 331.788920879364
steps: 1225000, episodes: 49000, mean episode reward: -71.11294287109375, time: 338.1910169124603
steps: 1250000, episodes: 50000, mean episode reward: -69.7953505859375, time: 344.5517647266388
steps: 1275000, episodes: 51000, mean episode reward: -72.58285107421874, time: 351.10727167129517
steps: 1300000, episodes: 52000, mean episode reward: -73.12855419921875, time: 357.53111243247986
steps: 1325000, episodes: 53000, mean episode reward: -69.27057763671874, time: 363.82259917259216
steps: 1350000, episodes: 54000, mean episode reward: -69.6437802734375, time: 370.2875666618347
steps: 1375000, episodes: 55000, mean episode reward: -72.58679003906249, time: 376.49983620643616
steps: 1400000, episodes: 56000, mean episode reward: -70.98303417968751, time: 382.6881470680237
steps: 1425000, episodes: 57000, mean episode reward: -68.016564453125, time: 389.1359074115753
steps: 1450000, episodes: 58000, mean episode reward: -71.13059033203125, time: 395.6091947555542
steps: 1475000, episodes: 59000, mean episode reward: -70.11525537109374, time: 402.04715871810913
steps: 1500000, episodes: 60000, mean episode reward: -70.96328369140625, time: 408.57921290397644
steps: 1525000, episodes: 61000, mean episode reward: -73.87579541015626, time: 415.01302790641785
steps: 1550000, episodes: 62000, mean episode reward: -67.91510595703124, time: 421.43557024002075
steps: 1575000, episodes: 63000, mean episode reward: -72.6335556640625, time: 427.97752618789673
steps: 1600000, episodes: 64000, mean episode reward: -70.47031689453124, time: 434.2889144420624
steps: 1625000, episodes: 65000, mean episode reward: -69.74838427734376, time: 440.68265533447266
steps: 1650000, episodes: 66000, mean episode reward: -68.93839208984375, time: 446.70305943489075
steps: 1675000, episodes: 67000, mean episode reward: -65.7757880859375, time: 453.0188567638397
steps: 1700000, episodes: 68000, mean episode reward: -64.45944775390625, time: 459.2833957672119
steps: 1725000, episodes: 69000, mean episode reward: -66.438544921875, time: 465.3947100639343
steps: 1750000, episodes: 70000, mean episode reward: -62.7933984375, time: 471.67386770248413
