choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -106.307025390625, time: 7.269219875335693
steps: 50000, episodes: 2000, mean episode reward: -91.2604482421875, time: 18.225138902664185
steps: 75000, episodes: 3000, mean episode reward: -89.93355126953125, time: 34.80390453338623
steps: 100000, episodes: 4000, mean episode reward: -85.46323095703124, time: 41.40239334106445
steps: 125000, episodes: 5000, mean episode reward: -86.34859472656251, time: 47.93279266357422
steps: 150000, episodes: 6000, mean episode reward: -83.61993310546875, time: 54.56564784049988
steps: 175000, episodes: 7000, mean episode reward: -82.21009765625, time: 61.24965739250183
steps: 200000, episodes: 8000, mean episode reward: -87.5331962890625, time: 67.59246754646301
steps: 225000, episodes: 9000, mean episode reward: -99.61713671875, time: 74.0856101512909
steps: 250000, episodes: 10000, mean episode reward: -99.466158203125, time: 80.69493412971497
steps: 275000, episodes: 11000, mean episode reward: -102.87401953125, time: 87.22424650192261
steps: 300000, episodes: 12000, mean episode reward: -101.656224609375, time: 93.68276190757751
steps: 325000, episodes: 13000, mean episode reward: -103.2126015625, time: 100.32753682136536
steps: 350000, episodes: 14000, mean episode reward: -101.909216796875, time: 106.87593603134155
steps: 375000, episodes: 15000, mean episode reward: -98.5581513671875, time: 113.50347399711609
steps: 400000, episodes: 16000, mean episode reward: -99.93615039062499, time: 119.76451706886292
steps: 425000, episodes: 17000, mean episode reward: -99.778421875, time: 126.20126938819885
steps: 450000, episodes: 18000, mean episode reward: -99.04881054687499, time: 132.7762348651886
steps: 475000, episodes: 19000, mean episode reward: -101.76923046874998, time: 139.4372158050537
steps: 500000, episodes: 20000, mean episode reward: -96.3276962890625, time: 145.99717044830322
steps: 525000, episodes: 21000, mean episode reward: -100.3623291015625, time: 152.5034511089325
steps: 550000, episodes: 22000, mean episode reward: -98.036146484375, time: 159.02768087387085
steps: 575000, episodes: 23000, mean episode reward: -97.84923144531251, time: 165.50645661354065
steps: 600000, episodes: 24000, mean episode reward: -95.15863476562501, time: 172.02431464195251
steps: 625000, episodes: 25000, mean episode reward: -100.0987451171875, time: 178.4427363872528
steps: 650000, episodes: 26000, mean episode reward: -93.72068066406251, time: 184.95805382728577
steps: 675000, episodes: 27000, mean episode reward: -91.81141210937498, time: 191.41386485099792
steps: 700000, episodes: 28000, mean episode reward: -92.09939160156249, time: 197.81140041351318
steps: 725000, episodes: 29000, mean episode reward: -90.852583984375, time: 204.21163940429688
steps: 750000, episodes: 30000, mean episode reward: -91.5612607421875, time: 210.64223432540894
steps: 775000, episodes: 31000, mean episode reward: -90.022564453125, time: 217.0819056034088
steps: 800000, episodes: 32000, mean episode reward: -90.7108662109375, time: 223.7674379348755
steps: 825000, episodes: 33000, mean episode reward: -94.0940634765625, time: 230.0515739917755
steps: 850000, episodes: 34000, mean episode reward: -95.4710732421875, time: 236.59878993034363
steps: 875000, episodes: 35000, mean episode reward: -91.95849804687501, time: 243.15373635292053
steps: 900000, episodes: 36000, mean episode reward: -91.5307138671875, time: 249.7332570552826
steps: 925000, episodes: 37000, mean episode reward: -95.0650107421875, time: 256.16181564331055
steps: 950000, episodes: 38000, mean episode reward: -96.75642187499999, time: 262.77353501319885
steps: 975000, episodes: 39000, mean episode reward: -104.09888769531251, time: 269.1899664402008
steps: 1000000, episodes: 40000, mean episode reward: -103.06700976562499, time: 275.6253800392151
steps: 1025000, episodes: 41000, mean episode reward: -97.68227929687501, time: 282.1577842235565
steps: 1050000, episodes: 42000, mean episode reward: -96.4463505859375, time: 288.61811208724976
steps: 1075000, episodes: 43000, mean episode reward: -98.33569531250001, time: 295.0946590900421
steps: 1100000, episodes: 44000, mean episode reward: -98.66294921875001, time: 301.385626077652
steps: 1125000, episodes: 45000, mean episode reward: -93.70193603515625, time: 307.7997977733612
steps: 1150000, episodes: 46000, mean episode reward: -93.12159960937501, time: 314.0989599227905
steps: 1175000, episodes: 47000, mean episode reward: -96.178732421875, time: 320.4485194683075
steps: 1200000, episodes: 48000, mean episode reward: -88.7211953125, time: 326.8398001194
steps: 1225000, episodes: 49000, mean episode reward: -92.782419921875, time: 333.0653431415558
steps: 1250000, episodes: 50000, mean episode reward: -91.4019072265625, time: 339.47226214408875
steps: 1275000, episodes: 51000, mean episode reward: -91.7557890625, time: 345.8957645893097
steps: 1300000, episodes: 52000, mean episode reward: -89.98228906250002, time: 352.2398900985718
steps: 1325000, episodes: 53000, mean episode reward: -93.49553710937501, time: 358.5596430301666
steps: 1350000, episodes: 54000, mean episode reward: -96.76124267578125, time: 364.93426537513733
steps: 1375000, episodes: 55000, mean episode reward: -100.258044921875, time: 371.3633418083191
steps: 1400000, episodes: 56000, mean episode reward: -93.3657353515625, time: 377.5195872783661
steps: 1425000, episodes: 57000, mean episode reward: -89.27359277343751, time: 383.95012497901917
steps: 1450000, episodes: 58000, mean episode reward: -94.16176367187501, time: 390.27914571762085
steps: 1475000, episodes: 59000, mean episode reward: -87.31619775390627, time: 396.63155817985535
steps: 1500000, episodes: 60000, mean episode reward: -87.55222851562499, time: 403.0419638156891
steps: 1525000, episodes: 61000, mean episode reward: -94.254427734375, time: 409.33950328826904
steps: 1550000, episodes: 62000, mean episode reward: -85.511396484375, time: 415.6146159172058
steps: 1575000, episodes: 63000, mean episode reward: -91.7762939453125, time: 421.89325523376465
steps: 1600000, episodes: 64000, mean episode reward: -95.5678671875, time: 428.17627573013306
steps: 1625000, episodes: 65000, mean episode reward: -104.69116015624999, time: 434.348087310791
steps: 1650000, episodes: 66000, mean episode reward: -100.854259765625, time: 440.5936629772186
steps: 1675000, episodes: 67000, mean episode reward: -95.67225390624999, time: 446.7218062877655
steps: 1700000, episodes: 68000, mean episode reward: -92.77124218750001, time: 452.8175399303436
steps: 1725000, episodes: 69000, mean episode reward: -98.97552832031252, time: 458.83307909965515
steps: 1750000, episodes: 70000, mean episode reward: -90.9748935546875, time: 465.04764795303345
steps: 1775000, episodes: 71000, mean episode reward: -88.87272900390626, time: 471.1919822692871
steps: 1800000, episodes: 72000, mean episode reward: -90.73159423828125, time: 477.3177933692932
steps: 1825000, episodes: 73000, mean episode reward: -88.811501953125, time: 483.40761733055115
steps: 1850000, episodes: 74000, mean episode reward: -88.98355371093751, time: 489.43286776542664
steps: 1875000, episodes: 75000, mean episode reward: -89.27627343750001, time: 495.5052635669708
steps: 1900000, episodes: 76000, mean episode reward: -92.6584287109375, time: 501.6361520290375
steps: 1925000, episodes: 77000, mean episode reward: -96.90902929687499, time: 507.71894216537476
steps: 1950000, episodes: 78000, mean episode reward: -98.6027109375, time: 513.8616237640381
steps: 1975000, episodes: 79000, mean episode reward: -94.40246191406251, time: 519.9061183929443
steps: 2000000, episodes: 80000, mean episode reward: -92.7787802734375, time: 526.0005400180817
steps: 2025000, episodes: 81000, mean episode reward: -98.2141123046875, time: 532.1050417423248
steps: 2050000, episodes: 82000, mean episode reward: -99.79409765624999, time: 538.2308912277222
steps: 2075000, episodes: 83000, mean episode reward: -104.18407714843752, time: 544.3202984333038
steps: 2100000, episodes: 84000, mean episode reward: -97.7876357421875, time: 550.4407687187195
steps: 2125000, episodes: 85000, mean episode reward: -99.47369628906252, time: 556.5319726467133
steps: 2150000, episodes: 86000, mean episode reward: -98.4722998046875, time: 562.8335795402527
