choose to use gpu...
Starting iterations...
steps: 25000, episodes: 1000, mean episode reward: -617.496015625, time: 8.389939785003662
steps: 50000, episodes: 2000, mean episode reward: -615.93314453125, time: 18.935402631759644
steps: 75000, episodes: 3000, mean episode reward: -615.70383203125, time: 29.765422821044922
steps: 100000, episodes: 4000, mean episode reward: -601.13973828125, time: 40.87929606437683
steps: 125000, episodes: 5000, mean episode reward: -609.01391796875, time: 51.6938111782074
steps: 150000, episodes: 6000, mean episode reward: -613.7605390625, time: 62.765148401260376
steps: 175000, episodes: 7000, mean episode reward: -647.74433984375, time: 73.62086653709412
steps: 200000, episodes: 8000, mean episode reward: -633.17600390625, time: 84.77811598777771
steps: 225000, episodes: 9000, mean episode reward: -616.4269101562501, time: 96.04446411132812
steps: 250000, episodes: 10000, mean episode reward: -619.8446171875, time: 107.19814157485962
steps: 275000, episodes: 11000, mean episode reward: -612.38176171875, time: 118.5038492679596
steps: 300000, episodes: 12000, mean episode reward: -614.0456875000001, time: 129.54160690307617
steps: 325000, episodes: 13000, mean episode reward: -611.40360546875, time: 140.6559681892395
steps: 350000, episodes: 14000, mean episode reward: -638.0159296874999, time: 151.72414207458496
steps: 375000, episodes: 15000, mean episode reward: -676.465953125, time: 163.0084731578827
steps: 400000, episodes: 16000, mean episode reward: -643.19342578125, time: 174.04636764526367
steps: 425000, episodes: 17000, mean episode reward: -622.767171875, time: 185.09495663642883
steps: 450000, episodes: 18000, mean episode reward: -643.15781640625, time: 196.1845736503601
steps: 475000, episodes: 19000, mean episode reward: -627.62644140625, time: 207.32974100112915
steps: 500000, episodes: 20000, mean episode reward: -621.4508203124999, time: 218.52512431144714
steps: 525000, episodes: 21000, mean episode reward: -629.01915625, time: 229.69165897369385
steps: 550000, episodes: 22000, mean episode reward: -658.0042539062499, time: 240.74458765983582
steps: 575000, episodes: 23000, mean episode reward: -657.5501132812501, time: 252.21432423591614
steps: 600000, episodes: 24000, mean episode reward: -632.22704296875, time: 263.1752784252167
steps: 625000, episodes: 25000, mean episode reward: -639.10603125, time: 274.5688889026642
steps: 650000, episodes: 26000, mean episode reward: -618.18075390625, time: 285.84682631492615
steps: 675000, episodes: 27000, mean episode reward: -618.1142773437501, time: 296.83746790885925
steps: 700000, episodes: 28000, mean episode reward: -615.65743359375, time: 308.2537534236908
steps: 725000, episodes: 29000, mean episode reward: -628.3263945312501, time: 319.191933631897
steps: 750000, episodes: 30000, mean episode reward: -617.6761015625, time: 330.4193637371063
steps: 775000, episodes: 31000, mean episode reward: -615.9251484375001, time: 341.59981894493103
steps: 800000, episodes: 32000, mean episode reward: -621.135046875, time: 352.7140300273895
steps: 825000, episodes: 33000, mean episode reward: -641.9343046874999, time: 363.7425787448883
steps: 850000, episodes: 34000, mean episode reward: -609.08946875, time: 374.87045216560364
steps: 875000, episodes: 35000, mean episode reward: -609.8866796875001, time: 386.04324555397034
steps: 900000, episodes: 36000, mean episode reward: -606.0862617187499, time: 397.16866970062256
